ID	PRODDATE	PROD_ID	SITE_ID	DEPARTMENT_ID	PAYLOAD	DTM
40	3/30/26 0:00	PR101_03_20260330_1_001	101	127	"{""Metrics"":{""Site"":{""Loader_Operator_One"":""Brandon Stephens"",""Shot_Number_One"":""None"",""Trucks_65_Ton"":""0"",""Loader_Operator_Two"":""Beau Thompson"",""Shot_Number_Two"":""None""},""C3"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Total"":16.0,""Produced_Item_Code"":""_"",""Performance"":null},""C4"":{""Availability"":95.3,""Runtime"":524.1,""Produced_Item_Description"":""#57"",""Total"":3454.6,""Produced_Item_Code"":""ST3510"",""Performance"":119.9},""C5"":{""Availability"":95.3,""Runtime"":524.1,""Produced_Item_Description"":""#57"",""Total"":2493.9,""Produced_Item_Code"":""ST3510"",""Performance"":86.5},""Workcenter"":{""Availability"":97.0,""Runtime"":1614.3,""Scheduled_Status"":""Scheduled"",""Odometer"":5964.5,""Performance"":89.1},""C6"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null},""C7"":{""Availability"":95.2,""Runtime"":523.7,""Produced_Item_Description"":""_"",""Total"":4043.6,""Produced_Item_Code"":""_"",""Performance"":183.8},""C8"":{""Availability"":100.0,""Runtime"":550.0,""Produced_Item_Description"":""1 1/2IN CRUSHER RUN"",""Total"":0.0,""Produced_Item_Code"":""ST5450"",""Performance"":0.0},""C1"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null},""MainLine1"":{""Total"":5964.5}}}"	4/4/26 7:38
41	3/31/26 0:00	PR101_03_20260331_1_001	101	127	"{""Metrics"":{""Site"":{""Loader_Operator_One"":""Brandon Stephens"",""Shot_Number_One"":""None"",""Trucks_65_Ton"":""0"",""Loader_Operator_Two"":""Beau Thompson"",""Shot_Number_Two"":""None""},""C3"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Total"":38.5,""Produced_Item_Code"":""_"",""Performance"":null},""C4"":{""Availability"":65.9,""Runtime"":362.5,""Produced_Item_Description"":""#57"",""Total"":2427.4,""Produced_Item_Code"":""ST3510"",""Performance"":121.7},""C5"":{""Availability"":64.8,""Runtime"":356.5,""Produced_Item_Description"":""#57"",""Total"":1698.4,""Produced_Item_Code"":""ST3510"",""Performance"":86.6},""Workcenter"":{""Availability"":80.3,""Runtime"":1412.5,""Scheduled_Status"":""Scheduled"",""Odometer"":4163.0,""Performance"":74.5},""C6"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null},""C7"":{""Availability"":65.0,""Runtime"":357.4,""Produced_Item_Description"":""_"",""Total"":2713.9,""Produced_Item_Code"":""_"",""Performance"":180.8},""C8"":{""Availability"":100.0,""Runtime"":550.0,""Produced_Item_Description"":""1 1/2IN CRUSHER RUN"",""Total"":0.0,""Produced_Item_Code"":""ST5450"",""Performance"":0.0},""C1"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null},""MainLine1"":{""Total"":4163.0}}}"	4/4/26 7:38
42	4/1/26 0:00	PR101_03_20260401_1_001	101	127	"{""Metrics"":{""Site"":{""Loader_Operator_One"":""Brandon Stephens"",""Shot_Number_One"":""None"",""Trucks_65_Ton"":""0"",""Loader_Operator_Two"":""Beau Thompson"",""Shot_Number_Two"":""None""},""C3"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null},""C4"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""#57"",""Total"":0.0,""Produced_Item_Code"":""ST3510"",""Performance"":null},""C5"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""#57"",""Total"":0.0,""Produced_Item_Code"":""ST3510"",""Performance"":null},""Workcenter"":{""Availability"":8.8,""Runtime"":549.9,""Total"":0.0,""Scheduled_Status"":""Scheduled"",""Performance"":0.0},""C6"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null},""C7"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null},""C8"":{""Availability"":100.0,""Runtime"":549.9,""Produced_Item_Description"":""1 1/2IN CRUSHER RUN"",""Total"":0.0,""Produced_Item_Code"":""ST5450"",""Performance"":0.0},""Circuit"":{""A"":{""Line"":{""A"":{""Runtime"":0.0,""Total"":0.0},""B"":{""Runtime"":0.0,""Total"":0.0}},""Runtime"":0.0,""Total"":0.0},""B"":{""Runtime"":549.9,""Total"":0.0}},""C1"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null}}}"	4/6/26 14:13
43	4/2/26 0:00	PR101_03_20260402_1_001	101	127	"{""Metrics"":{""Site"":{""Loader_Operator_One"":""Brandon Stephens"",""Shot_Number_One"":""None"",""Trucks_65_Ton"":""0"",""Loader_Operator_Two"":""Beau Thompson"",""Shot_Number_Two"":""None""},""C3"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null},""C4"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""#57"",""Total"":0.0,""Produced_Item_Code"":""ST3510"",""Performance"":null},""C5"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""#57"",""Total"":0.0,""Produced_Item_Code"":""ST3510"",""Performance"":null},""Workcenter"":{""Availability"":8.8,""Runtime"":550.0,""Total"":0.0,""Scheduled_Status"":""Scheduled"",""Performance"":0.0,""Scheduled_Runtime"":550.0},""C6"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null},""C7"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null},""C8"":{""Availability"":100.0,""Runtime"":550.0,""Produced_Item_Description"":""1 1/2IN CRUSHER RUN"",""Total"":0.0,""Produced_Item_Code"":""ST5450"",""Performance"":0.0},""Circuit"":{""A"":{""Line"":{""A"":{""Runtime"":0.0,""Total"":0.0},""B"":{""Runtime"":0.0,""Total"":0.0}},""Runtime"":0.0,""Total"":0.0},""B"":{""Runtime"":550.0,""Total"":0.0}},""C1"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null}}}"	4/7/26 16:18
44	4/3/26 0:00	PR101_03_20260403_1_001	101	127	"{""Metrics"":{""Site"":{""Loader_Operator_One"":""Brandon Stephens"",""Shot_Number_One"":""None"",""Trucks_65_Ton"":""0"",""Loader_Operator_Two"":""Beau Thompson"",""Shot_Number_Two"":""None""},""C3"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Total"":32.1,""Produced_Item_Code"":""_"",""Performance"":null},""C4"":{""Availability"":93.0,""Runtime"":511.4,""Produced_Item_Description"":""#57"",""Total"":3484.7,""Produced_Item_Code"":""ST3510"",""Performance"":123.9},""C5"":{""Availability"":92.3,""Runtime"":507.5,""Produced_Item_Description"":""#57"",""Total"":2194.8,""Produced_Item_Code"":""ST3510"",""Performance"":78.6},""Workcenter"":{""Availability"":93.3,""Runtime"":1569.0,""Total"":null,""Scheduled_Status"":""Scheduled"",""Performance"":null,""Scheduled_Runtime"":550.1},""C6"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null},""C7"":{""Availability"":92.7,""Runtime"":509.7,""Produced_Item_Description"":""_"",""Total"":3815.5,""Produced_Item_Code"":""_"",""Performance"":178.2},""C8"":{""Availability"":100.0,""Runtime"":550.0,""Produced_Item_Description"":""1 1/2IN CRUSHER RUN"",""Total"":0.0,""Produced_Item_Code"":""ST5450"",""Performance"":0.0},""Circuit"":{""A"":{""Line"":{""A"":{""Runtime"":511.4,""Total"":null},""B"":{""Runtime"":507.5,""Total"":null}},""Runtime"":1018.9,""Total"":null},""B"":{""Runtime"":550.0,""Total"":null}},""C1"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null}}}"	4/7/26 16:18
45	3/31/26 0:00	PR101_06_20260331_0_001	101	130	"{""Metrics"":{""Site"":{},""C4"":{""Availability"":19.0,""Runtime"":160.4,""Produced_Item_Description"":""_"",""Total"":1239.8,""Produced_Item_Code"":""_"",""Performance"":140.6},""Workcenter"":{""Availability"":0.0,""Runtime"":0.0,""Scheduled_Status"":""Scheduled"",""Odometer"":0.0,""Performance"":null},""C9"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null}}}"	4/4/26 7:38
46	3/31/26 0:00	PR101_06_20260331_1_001	101	130	"{""Metrics"":{""Site"":{},""C4"":{""Availability"":100.0,""Runtime"":35.3,""Produced_Item_Description"":""_"",""Total"":191.2,""Produced_Item_Code"":""_"",""Performance"":98.4},""Workcenter"":{""Availability"":0.0,""Runtime"":0.0,""Scheduled_Status"":""Scheduled"",""Odometer"":0.0,""Performance"":null},""C9"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null}}}"	4/4/26 7:38
47	4/2/26 0:00	PR101_06_20260402_1_001	101	130	"{""Metrics"":{""Site"":{},""C4"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null},""Workcenter"":{""Availability"":0.0,""Runtime"":0.0,""Total"":0.0,""Scheduled_Status"":""Scheduled"",""Performance"":null,""Scheduled_Runtime"":810.0},""C9"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null}}}"	4/7/26 16:19
48	4/3/26 0:00	PR101_06_20260403_1_001	101	130	"{""Metrics"":{""Site"":{},""C4"":{""Availability"":76.8,""Runtime"":622.0,""Produced_Item_Description"":""_"",""Total"":4272.4,""Produced_Item_Code"":""_"",""Performance"":124.9},""Workcenter"":{""Availability"":0.0,""Runtime"":0.0,""Total"":0.0,""Scheduled_Status"":""Scheduled"",""Performance"":null,""Scheduled_Runtime"":810.0},""C9"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null}}}"	4/7/26 16:19
49	4/4/26 0:00	PR101_03_20260404_1_001	101	127	"{""Metrics"":{""Site"":{""Loader_Operator_One"":""Brandon Stephens"",""Shot_Number_One"":""None"",""Trucks_65_Ton"":""0"",""Loader_Operator_Two"":""Beau Thompson"",""Shot_Number_Two"":""None""},""C3"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Belt_Scale_Availability"":0.0,""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null},""C4"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""#57"",""Belt_Scale_Availability"":0.0,""Total"":0.0,""Produced_Item_Code"":""ST3510"",""Performance"":null},""C5"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""#57"",""Belt_Scale_Availability"":0.0,""Total"":0.0,""Produced_Item_Code"":""ST3510"",""Performance"":null},""Workcenter"":{""Availability"":8.8,""Runtime"":550.2,""Total"":null,""Scheduled_Status"":""Scheduled"",""Performance"":null,""Scheduled_Runtime"":550.2},""C6"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Belt_Scale_Availability"":0.0,""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null},""C7"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Belt_Scale_Availability"":0.0,""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null},""C8"":{""Availability"":100.0,""Runtime"":550.2,""Produced_Item_Description"":""1 1/2IN CRUSHER RUN"",""Belt_Scale_Availability"":0.0,""Total"":0.0,""Produced_Item_Code"":""ST5450"",""Performance"":0.0},""Circuit"":{""A"":{""Line"":{""A"":{""Runtime"":0.0,""Total"":null},""B"":{""Runtime"":0.0,""Total"":null}},""Runtime"":0.0,""Total"":null},""B"":{""Runtime"":550.2,""Total"":null}},""C1"":{""Availability"":0.0,""Runtime"":0.0,""Produced_Item_Description"":""_"",""Belt_Scale_Availability"":0.0,""Total"":0.0,""Produced_Item_Code"":""_"",""Performance"":null}}}"	4/9/26 15:41
